,bbb_spread
2001-02-28,2.42
2001-03-31,2.38
2001-04-30,2.19
2001-05-31,2.06
2001-06-30,2.08
2001-07-31,2.05
2001-08-31,2.09
2001-09-30,2.46
2001-10-31,2.57
2001-11-30,2.34
2001-12-31,2.22
2002-01-31,2.3
2002-02-28,2.49
2002-03-31,2.39
2002-04-30,2.71
2002-05-31,2.26
2002-06-30,2.65
2002-07-31,3.29
2002-08-31,3.18
2002-09-30,3.47
2002-10-31,3.53
2002-11-30,2.83
2002-12-31,2.7
2003-01-31,2.51
2003-02-28,2.44
2003-03-31,2.35
2003-04-30,1.97
2003-05-31,1.92
2003-06-30,1.79
2003-07-31,1.72
2003-08-31,1.67
2003-09-30,1.59
2003-10-31,1.49
2003-11-30,1.42
2003-12-31,1.3
2004-01-31,1.28
2004-02-29,1.31
2004-03-31,1.33
2004-04-30,1.25
2004-05-31,1.33
2004-06-30,1.33
2004-07-31,1.29
2004-08-31,1.27
2004-09-30,1.23
2004-10-31,1.22
2004-11-30,1.15
2004-12-31,1.13
2005-01-31,1.17
2005-02-28,1.12
2005-03-31,1.33
2005-04-30,1.54
2005-05-31,1.36
2005-06-30,1.34
2005-07-31,1.22
2005-08-31,1.21
2005-09-30,1.24
2005-10-31,1.29
2005-11-30,1.36
2005-12-31,1.21
2006-01-31,1.16
2006-02-28,1.17
2006-03-31,1.16
2006-04-30,1.13
2006-05-31,1.19
2006-06-30,1.27
2006-07-31,1.27
2006-08-31,1.28
2006-09-30,1.29
2006-10-31,1.26
2006-11-30,1.23
2006-12-31,1.22
2007-01-31,1.17
2007-02-28,1.16
2007-03-31,1.22
2007-04-30,1.2
2007-05-31,1.2
2007-06-30,1.27
2007-07-31,1.62
2007-08-31,1.74
2007-09-30,1.78
2007-10-31,1.83
2007-11-30,2.34
2007-12-31,2.45
2008-01-31,2.77
2008-02-29,3.07
2008-03-31,3.48
2008-04-30,3.03
2008-05-31,2.83
2008-06-30,3.06
2008-07-31,3.31
2008-08-31,3.47
2008-09-30,4.56
2008-10-31,6.98
2008-11-30,7.68
2008-12-31,7.84
2009-01-31,6.79
2009-02-28,6.87
2009-03-31,7.31
2009-04-30,6.29
2009-05-31,5.1
2009-06-30,4.33
2009-07-31,3.65
2009-08-31,3.34
2009-09-30,3.06
2009-10-31,2.88
2009-11-30,2.88
2009-12-31,2.48
2010-01-31,2.3
2010-02-28,2.33
2010-03-31,2.05
2010-04-30,1.97
2010-05-31,2.51
2010-06-30,2.63
2010-07-31,2.41
2010-08-31,2.49
2010-09-30,2.37
2010-10-31,2.26
2010-11-30,2.28
2010-12-31,2.11
2011-01-31,2.04
2011-02-28,1.94
2011-03-31,1.89
2011-04-30,1.86
2011-05-31,1.96
2011-06-30,2.03
2011-07-31,2.04
2011-08-31,2.66
2011-09-30,3.1
2011-10-31,2.73
2011-11-30,3.14
2011-12-31,3.15
2012-01-31,2.87
2012-02-29,2.55
2012-03-31,2.43
2012-04-30,2.55
2012-05-31,2.85
2012-06-30,2.75
2012-07-31,2.55
2012-08-31,2.45
2012-09-30,2.25
2012-10-31,2.02
2012-11-30,2.13
2012-12-31,2.04
2013-01-31,1.95
2013-02-28,1.99
2013-03-31,2.01
2013-04-30,1.96
2013-05-31,1.95
2013-06-30,2.21
2013-07-31,2.07
2013-08-31,2.11
2013-09-30,2.09
2013-10-31,1.94
2013-11-30,1.91
2013-12-31,1.74
2014-01-31,1.78
2014-02-28,1.66
2014-03-31,1.61
2014-04-30,1.54
2014-05-31,1.5
2014-06-30,1.44
2014-07-31,1.47
2014-08-31,1.5
2014-09-30,1.59
2014-10-31,1.67
2014-11-30,1.8
2014-12-31,1.98
2015-01-31,2.13
2015-02-28,1.8
2015-03-31,1.82
2015-04-30,1.79
2015-05-31,1.83
2015-06-30,1.93
2015-07-31,2.07
2015-08-31,2.24
2015-09-30,2.4
2015-10-31,2.23
2015-11-30,2.22
2015-12-31,2.41
2016-01-31,2.79
2016-02-29,2.82
2016-03-31,2.31
2016-04-30,2.07
2016-05-31,2.07
2016-06-30,2.13
2016-07-31,1.97
2016-08-31,1.83
2016-09-30,1.85
2016-10-31,1.78
2016-11-30,1.75
2016-12-31,1.66
2017-01-31,1.61
2017-02-28,1.54
2017-03-31,1.57
2017-04-30,1.55
2017-05-31,1.51
2017-06-30,1.46
2017-07-31,1.39
2017-08-31,1.48
2017-09-30,1.37
2017-10-31,1.3
2017-11-30,1.32
2017-12-31,1.28
2018-01-31,1.17
2018-02-28,1.28
2018-03-31,1.45
2018-04-30,1.44
2018-05-31,1.54
2018-06-30,1.63
2018-07-31,1.47
2018-08-31,1.53
2018-09-30,1.43
2018-10-31,1.58
2018-11-30,1.84
2018-12-31,2.02
2019-01-31,1.79
2019-02-28,1.68
2019-03-31,1.63
2019-04-30,1.5
2019-05-31,1.71
2019-06-30,1.57
2019-07-31,1.47
2019-08-31,1.62
2019-09-30,1.56
2019-10-31,1.5
2019-11-30,1.44
2019-12-31,1.3
2020-01-31,1.39
2020-02-29,1.64
2020-03-31,3.96
2020-04-30,2.82
2020-05-31,2.44
2020-06-30,2.07
2020-07-31,1.85
2020-08-31,1.76
2020-09-30,1.84
2020-10-31,1.71
2020-11-30,1.43
2020-12-31,1.3
2021-01-31,1.28
2021-02-28,1.19
2021-03-31,1.19
2021-04-30,1.17
2021-05-31,1.13
2021-06-30,1.07
2021-07-31,1.13
2021-08-31,1.14
2021-09-30,1.1
2021-10-31,1.11
2021-11-30,1.26
2021-12-31,1.21
2022-01-31,1.34
2022-02-28,1.6
2022-03-31,1.49
2022-04-30,1.71
2022-05-31,1.73
2022-06-30,2.04
2022-07-31,1.92
2022-08-31,1.85
2022-09-30,2.06
2022-10-31,2.03
2022-11-30,1.77
2022-12-31,1.72
2023-01-31,1.56
2023-02-28,1.6
2023-03-31,1.77
2023-04-30,1.74
2023-05-31,1.76
2023-06-30,1.61
2023-07-31,1.47
2023-08-31,1.51
2023-09-30,1.53
2023-10-31,1.62
2023-11-30,1.39
2023-12-31,1.29
2024-01-31,1.26
2024-02-29,1.24
2024-03-31,1.17
2024-04-30,1.14
2024-05-31,1.1
2024-06-30,1.19
2024-07-31,1.2
2024-08-31,1.19
2024-09-30,1.16
2024-10-31,1.08
2024-11-30,1.03
2024-12-31,1.02
2025-01-31,1.02
2025-02-28,1.09
2025-03-31,1.2
2025-04-30,1.37
