,home_price_index
2001-02-28,110.502
2001-03-31,111.109
2001-04-30,111.652
2001-05-31,112.163
2001-06-30,112.795
2001-07-31,113.492
2001-08-31,114.168
2001-09-30,114.813
2001-10-31,115.31
2001-11-30,115.856
2001-12-31,116.454
2002-01-31,117.144
2002-02-28,117.845
2002-03-31,118.688
2002-04-30,119.612
2002-05-31,120.725
2002-06-30,121.814
2002-07-31,122.889
2002-08-31,123.832
2002-09-30,124.781
2002-10-31,125.736
2002-11-30,126.671
2002-12-31,127.625
2003-01-31,128.462
2003-02-28,129.356
2003-03-31,130.148
2003-04-30,130.884
2003-05-31,131.735
2003-06-30,132.649
2003-07-31,133.777
2003-08-31,134.968
2003-09-30,136.295
2003-10-31,137.533
2003-11-30,138.795
2003-12-31,140.181
2004-01-31,141.647
2004-02-29,143.192
2004-03-31,145.058
2004-04-30,146.593
2004-05-31,148.186
2004-06-30,149.851
2004-07-31,151.338
2004-08-31,152.633
2004-09-30,154.178
2004-10-31,155.75
2004-11-30,157.526
2004-12-31,159.329
2005-01-31,161.288
2005-02-28,163.346
2005-03-31,165.815
2005-04-30,167.503
2005-05-31,169.353
2005-06-30,171.192
2005-07-31,172.861
2005-08-31,174.443
2005-09-30,176.439
2005-10-31,178.029
2005-11-30,179.683
2005-12-31,180.912
2006-01-31,182.321
2006-02-28,183.287
2006-03-31,184.364
2006-04-30,184.33
2006-05-31,184.156
2006-06-30,183.507
2006-07-31,183.066
2006-08-31,182.592
2006-09-30,182.797
2006-10-31,183.198
2006-11-30,183.608
2006-12-31,184.137
2007-01-31,184.515
2007-02-28,184.597
2007-03-31,184.148
2007-04-30,183.009
2007-05-31,181.6
2007-06-30,180.253
2007-07-31,179.11
2007-08-31,178.115
2007-09-30,177.557
2007-10-31,176.623
2007-11-30,175.146
2007-12-31,174.341
2008-01-31,173.131
2008-02-29,171.539
2008-03-31,170.05
2008-04-30,168.332
2008-05-31,166.653
2008-06-30,165.013
2008-07-31,163.563
2008-08-31,161.986
2008-09-30,160.306
2008-10-31,158.326
2008-11-30,156.141
2008-12-31,153.617
2009-01-31,151.506
2009-02-28,150.012
2009-03-31,148.659
2009-04-30,147.948
2009-05-31,147.694
2009-06-30,148.088
2009-07-31,148.407
2009-08-31,148.275
2009-09-30,148.022
2009-10-31,147.847
2009-11-30,148.133
2009-12-31,147.93
2010-01-31,147.396
2010-02-28,145.634
2010-03-31,145.858
2010-04-30,146.398
2010-05-31,146.386
2010-06-30,145.713
2010-07-31,144.983
2010-08-31,143.908
2010-09-30,143.013
2010-10-31,142.522
2010-11-30,142.161
2010-12-31,142.048
2011-01-31,141.51
2011-02-28,140.338
2011-03-31,139.97
2011-04-30,140.003
2011-05-31,139.9
2011-06-30,139.857
2011-07-31,139.726
2011-08-31,139.303
2011-09-30,138.659
2011-10-31,137.94
2011-11-30,137.139
2011-12-31,136.661
2012-01-31,136.595
2012-02-29,136.521
2012-03-31,137.893
2012-04-30,139.143
2012-05-31,140.144
2012-06-30,141.019
2012-07-31,141.659
2012-08-31,142.269
2012-09-30,142.897
2012-10-31,143.59
2012-11-30,144.574
2012-12-31,145.491
2013-01-31,146.815
2013-02-28,147.772
2013-03-31,149.952
2013-04-30,151.509
2013-05-31,152.841
2013-06-30,154.19
2013-07-31,155.596
2013-08-31,156.952
2013-09-30,158.215
2013-10-31,159.234
2013-11-30,160.07
2013-12-31,160.99
2014-01-31,161.92
2014-02-28,162.517
