,pce_index
2001-02-28,7001.8
2001-03-31,6996.7
2001-04-30,7004.2
2001-05-31,7052.8
2001-06-30,7069.7
2001-07-31,7082.3
2001-08-31,7121.7
2001-09-30,7007.0
2001-10-31,7212.9
2001-11-30,7182.3
2001-12-31,7166.7
2002-01-31,7184.6
2002-02-28,7225.2
2002-03-31,7243.4
2002-04-30,7312.5
2002-05-31,7288.9
2002-06-30,7322.5
2002-07-31,7387.3
2002-08-31,7412.6
2002-09-30,7391.5
2002-10-31,7435.2
2002-11-30,7463.8
2002-12-31,7519.9
2003-01-31,7541.3
2003-02-28,7548.6
2003-03-31,7611.5
2003-04-30,7634.5
2003-05-31,7650.3
2003-06-30,7699.6
2003-07-31,7757.0
2003-08-31,7852.1
2003-09-30,7853.7
2003-10-31,7867.4
2003-11-30,7922.6
2003-12-31,7950.4
2004-01-31,8007.1
2004-02-29,8040.4
2004-03-31,8098.8
2004-04-30,8107.2
2004-05-31,8176.5
2004-06-30,8157.6
2004-07-31,8236.9
2004-08-31,8271.6
2004-09-30,8341.5
2004-10-31,8397.1
2004-11-30,8444.5
2004-12-31,8504.4
2005-01-31,8497.7
2005-02-28,8559.1
2005-03-31,8598.4
2005-04-30,8678.4
2005-05-31,8671.6
2005-06-30,8753.4
2005-07-31,8853.8
2005-08-31,8850.1
2005-09-30,8900.4
2005-10-31,8938.5
2005-11-30,8946.2
2005-12-31,8981.1
2006-01-31,9071.6
2006-02-28,9096.0
2006-03-31,9132.9
2006-04-30,9191.6
2006-05-31,9231.8
2006-06-30,9259.6
2006-07-31,9343.8
2006-08-31,9342.2
2006-09-30,9375.4
2006-10-31,9393.6
2006-11-30,9400.2
2006-12-31,9488.3
2007-01-31,9538.7
2007-02-28,9566.0
2007-03-31,9611.7
2007-04-30,9643.6
2007-05-31,9685.8
2007-06-30,9706.8
2007-07-31,9751.1
2007-08-31,9798.9
2007-09-30,9845.1
2007-10-31,9882.7
2007-11-30,9955.9
2007-12-31,9972.8
2008-01-31,9996.4
2008-02-29,9981.7
2008-03-31,10035.3
2008-04-30,10070.3
2008-05-31,10132.3
2008-06-30,10187.1
2008-07-31,10185.1
2008-08-31,10175.7
2008-09-30,10116.4
2008-10-31,10034.1
2008-11-30,9885.2
2008-12-31,9801.5
2009-01-31,9847.2
2009-02-28,9824.5
2009-03-31,9773.2
2009-04-30,9772.5
2009-05-31,9791.6
2009-06-30,9852.4
2009-07-31,9886.3
2009-08-31,10004.1
2009-09-30,9927.8
2009-10-31,9976.7
2009-11-30,9985.7
2009-12-31,10052.6
2010-01-31,10056.1
2010-02-28,10093.4
2010-03-31,10156.0
2010-04-30,10182.3
2010-05-31,10210.8
2010-06-30,10231.3
2010-07-31,10268.1
2010-08-31,10307.1
2010-09-30,10327.1
2010-10-31,10386.4
2010-11-30,10433.6
2010-12-31,10471.0
2011-01-31,10514.3
2011-02-28,10540.6
2011-03-31,10619.7
2011-04-30,10652.1
2011-05-31,10672.2
2011-06-30,10694.8
2011-07-31,10731.6
2011-08-31,10750.3
2011-09-30,10783.2
2011-10-31,10802.9
2011-11-30,10806.8
2011-12-31,10817.8
2012-01-31,10896.8
2012-02-29,10987.2
2012-03-31,10993.9
2012-04-30,11018.5
2012-05-31,11006.8
2012-06-30,10989.8
2012-07-31,11016.8
2012-08-31,11056.0
2012-09-30,11105.3
2012-10-31,11137.4
2012-11-30,11178.4
2012-12-31,11181.2
2013-01-31,11252.4
2013-02-28,11290.5
2013-03-31,11290.1
2013-04-30,11281.1
2013-05-31,11321.6
2013-06-30,11344.4
2013-07-31,11372.6
